symptom,possible_conditions,advice
chills associated with vomiting,Vertigo (BPPV); Conjunctivitis; Gastritis,"Possible causes include: Vertigo (BPPV), Conjunctivitis, Gastritis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills with blood,Bacterial infection; Rabies (rare); Osteoarthritis,"Possible causes include: Bacterial infection, Rabies (rare), Osteoarthritis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills with mucus,Sinusitis; Allergic rhinitis; Depression,"Possible causes include: Sinusitis, Allergic rhinitis, Depression. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills with yellow discharge,Food poisoning; Chronic kidney disease; Chronic obstructive pulmonary disease (COPD),"Possible causes include: Food poisoning, Chronic kidney disease, Chronic obstructive pulmonary disease (COPD). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills with green discharge,Peripheral neuropathy; Allergic rhinitis; Peptic ulcer disease,"Possible causes include: Peripheral neuropathy, Allergic rhinitis, Peptic ulcer disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills after travel,RSV infection; Bronchitis; Heart failure,"Possible causes include: RSV infection, Bronchitis, Heart failure. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills after insect bite,Conjunctivitis; Tuberculosis; Rabies (rare),"Possible causes include: Conjunctivitis, Tuberculosis, Rabies (rare). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills after injury,HIV-related infection; Occupational lung disease; Chronic obstructive pulmonary disease (COPD),"Possible causes include: HIV-related infection, Occupational lung disease, Chronic obstructive pulmonary disease (COPD). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills postoperative,Inflammatory bowel disease (IBD); Laryngitis; Shingles,"Possible causes include: Inflammatory bowel disease (IBD), Laryngitis, Shingles. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills after surgery,Lupus (SLE); Heart attack (myocardial infarction); Seizure disorder (epilepsy),"Possible causes include: Lupus (SLE), Heart attack (myocardial infarction), Seizure disorder (epilepsy). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills during menstruation,Gallstones; Herpes zoster (shingles); Meniere's disease,"Possible causes include: Gallstones, Herpes zoster (shingles), Meniere's disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills postpartum,Pulmonary embolism; Malaria; Pressure ulcer,"Possible causes include: Pulmonary embolism, Malaria, Pressure ulcer. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills in elderly,Tooth abscess; Typhoid fever; Cluster headache,"Possible causes include: Tooth abscess, Typhoid fever, Cluster headache. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills in child under 5,TMJ disorder; Ectopic pregnancy; Diabetes (hyperglycemia),"Possible causes include: TMJ disorder, Ectopic pregnancy, Diabetes (hyperglycemia). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills in smoker,Anxiety disorder; Depression; Lupus (SLE),"Possible causes include: Anxiety disorder, Depression, Lupus (SLE). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills in diabetic patient,Cellulitis; Anaphylaxis; Dermatitis/eczema,"Possible causes include: Cellulitis, Anaphylaxis, Dermatitis/eczema. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills in immunocompromised,Shingles; Typhoid fever; Pneumonia,"Possible causes include: Shingles, Typhoid fever, Pneumonia. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills after antibiotic use,Dengue fever; Hyperventilation syndrome; Gastroesophageal reflux disease (GERD),"Possible causes include: Dengue fever, Hyperventilation syndrome, Gastroesophageal reflux disease (GERD). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills after eating spicy food,Meniere's disease; Migraine; HIV-related infection,"Possible causes include: Meniere's disease, Migraine, HIV-related infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills after heavy meal,Tension headache; Multiple sclerosis; Autoimmune disease,"Possible causes include: Tension headache, Multiple sclerosis, Autoimmune disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills with weight loss,Heart attack (myocardial infarction); Urinary tract infection (UTI); Transient ischemic attack (TIA),"Possible causes include: Heart attack (myocardial infarction), Urinary tract infection (UTI), Transient ischemic attack (TIA). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills with sweating,Acute kidney injury; Eczema herpeticum; Tuberculosis,"Possible causes include: Acute kidney injury, Eczema herpeticum, Tuberculosis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills with shortness of breath,Urinary tract infection (UTI); Viral infection; Deep vein thrombosis (DVT),"Possible causes include: Urinary tract infection (UTI), Viral infection, Deep vein thrombosis (DVT). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills with chest pain,Anxiety disorder; Sports injury / sprain; Pressure ulcer,"Possible causes include: Anxiety disorder, Sports injury / sprain, Pressure ulcer. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills with palpitations,Sinusitis; Gout; Allergic reaction,"Possible causes include: Sinusitis, Gout, Allergic reaction. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills during exercise,Stroke; Osteoarthritis; Tendonitis,"Possible causes include: Stroke, Osteoarthritis, Tendonitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills at rest,Osteoarthritis; Fracture; Insomnia disorder,"Possible causes include: Osteoarthritis, Fracture, Insomnia disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills intermittent,Tuberculosis; Occupational lung disease; Stroke,"Possible causes include: Tuberculosis, Occupational lung disease, Stroke. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills constant,Multiple sclerosis; Periodontal disease (gum infection); Tooth abscess,"Possible causes include: Multiple sclerosis, Periodontal disease (gum infection), Tooth abscess. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills episodes lasting minutes,HIV-related infection; Cellulitis; Autoimmune disease,"Possible causes include: HIV-related infection, Cellulitis, Autoimmune disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills episodes lasting hours,Eustachian tube dysfunction; Pancreatitis; Anaphylaxis,"Possible causes include: Eustachian tube dysfunction, Pancreatitis, Anaphylaxis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors in children,Peptic ulcer disease; Endometriosis; Cluster headache,"Possible causes include: Peptic ulcer disease, Endometriosis, Cluster headache. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors in adults,Meningitis; Inflammatory bowel disease (IBD); Parkinson's disease,"Possible causes include: Meningitis, Inflammatory bowel disease (IBD), Parkinson's disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors during pregnancy,RSV infection; Irritable bowel syndrome (IBS); Tuberculosis,"Possible causes include: RSV infection, Irritable bowel syndrome (IBS), Tuberculosis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors after eating,Pneumonia; Kidney stones; Tooth abscess,"Possible causes include: Pneumonia, Kidney stones, Tooth abscess. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors on exertion,Dermatitis/eczema; Pressure ulcer; Motion sickness,"Possible causes include: Dermatitis/eczema, Pressure ulcer, Motion sickness. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors at night,RSV infection; Shingles; Osteoarthritis,"Possible causes include: RSV infection, Shingles, Osteoarthritis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors in the morning,Depression; Gallstones; Otitis media,"Possible causes include: Depression, Gallstones, Otitis media. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors for 1 day,Sports injury / sprain; Lupus (SLE); Fracture,"Possible causes include: Sports injury / sprain, Lupus (SLE), Fracture. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors for 3 days,Heart failure; Parkinson's disease; Retinal detachment,"Possible causes include: Heart failure, Parkinson's disease, Retinal detachment. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors for 1 week,Endometriosis; Glaucoma; Depression,"Possible causes include: Endometriosis, Glaucoma, Depression. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors chronic (months),Heart attack (myocardial infarction); Pressure ulcer; Asthma,"Possible causes include: Heart attack (myocardial infarction), Pressure ulcer, Asthma. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors sudden onset,Panic disorder; Hyperventilation syndrome; Cellulitis,"Possible causes include: Panic disorder, Hyperventilation syndrome, Cellulitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors progressive,Malaria; Peripheral neuropathy; Parasitic infection,"Possible causes include: Malaria, Peripheral neuropathy, Parasitic infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors recurrent,Angina; Stroke; Iron deficiency anemia,"Possible causes include: Angina, Stroke, Iron deficiency anemia. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors severe,Rabies (rare); Cellulitis; Fungal infection,"Possible causes include: Rabies (rare), Cellulitis, Fungal infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors mild,Meniere's disease; Iron deficiency anemia; RSV infection,"Possible causes include: Meniere's disease, Iron deficiency anemia, RSV infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors moderate,Parkinson's disease; Rabies (rare); Asthma,"Possible causes include: Parkinson's disease, Rabies (rare), Asthma. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors worse when bending,Meniere's disease; Vertigo (BPPV); Acute kidney injury,"Possible causes include: Meniere's disease, Vertigo (BPPV), Acute kidney injury. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors worse when coughing,Sinusitis; Ectopic pregnancy; Encephalitis,"Possible causes include: Sinusitis, Ectopic pregnancy, Encephalitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors improves with rest,Depression; Rheumatoid arthritis; Chronic kidney disease,"Possible causes include: Depression, Rheumatoid arthritis, Chronic kidney disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors worse with movement,Venous insufficiency; Panic disorder; Sepsis,"Possible causes include: Venous insufficiency, Panic disorder, Sepsis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors associated with fever,Bronchiolitis; Conjunctivitis; Angina,"Possible causes include: Bronchiolitis, Conjunctivitis, Angina. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors associated with vomiting,Sinusitis; Dehydration; Deep vein thrombosis (DVT),"Possible causes include: Sinusitis, Dehydration, Deep vein thrombosis (DVT). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors with blood,Contact dermatitis; Cellulitis; Vitamin B12 deficiency,"Possible causes include: Contact dermatitis, Cellulitis, Vitamin B12 deficiency. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors with mucus,Gastritis; Urinary tract infection (UTI); Contact dermatitis,"Possible causes include: Gastritis, Urinary tract infection (UTI), Contact dermatitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors with yellow discharge,Deep vein thrombosis (DVT); Sports injury / sprain; Glaucoma,"Possible causes include: Deep vein thrombosis (DVT), Sports injury / sprain, Glaucoma. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors with green discharge,Osteoarthritis; Autoimmune disease; Heart failure,"Possible causes include: Osteoarthritis, Autoimmune disease, Heart failure. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors after travel,Bronchiolitis; Meniere's disease; Eczema herpeticum,"Possible causes include: Bronchiolitis, Meniere's disease, Eczema herpeticum. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors after insect bite,Allergic reaction; Insomnia disorder; Angina,"Possible causes include: Allergic reaction, Insomnia disorder, Angina. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors after injury,Psoriasis; Peripheral neuropathy; Cellulitis,"Possible causes include: Psoriasis, Peripheral neuropathy, Cellulitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors postoperative,Peptic ulcer disease; Earwax impaction; Heart failure,"Possible causes include: Peptic ulcer disease, Earwax impaction, Heart failure. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors after surgery,Benign prostatic hyperplasia (BPH); RSV infection; Viral infection,"Possible causes include: Benign prostatic hyperplasia (BPH), RSV infection, Viral infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors during menstruation,Autoimmune disease; Endometriosis; Otitis media,"Possible causes include: Autoimmune disease, Endometriosis, Otitis media. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors postpartum,Deep vein thrombosis (DVT); Chronic obstructive pulmonary disease (COPD); Liver disease (hepatitis),"Possible causes include: Deep vein thrombosis (DVT), Chronic obstructive pulmonary disease (COPD), Liver disease (hepatitis). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors in elderly,Ectopic pregnancy; Hypothyroidism; Typhoid fever,"Possible causes include: Ectopic pregnancy, Hypothyroidism, Typhoid fever. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors in child under 5,Vertigo (BPPV); Glaucoma; HIV-related infection,"Possible causes include: Vertigo (BPPV), Glaucoma, HIV-related infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors in smoker,Depression; Meniere's disease; Chronic obstructive pulmonary disease (COPD),"Possible causes include: Depression, Meniere's disease, Chronic obstructive pulmonary disease (COPD). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors in diabetic patient,Migraine; Parkinson's disease; Eczema herpeticum,"Possible causes include: Migraine, Parkinson's disease, Eczema herpeticum. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors in immunocompromised,Cholecystitis; Osteoarthritis; Depression,"Possible causes include: Cholecystitis, Osteoarthritis, Depression. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors after antibiotic use,Fracture; Conjunctivitis; Gallstones,"Possible causes include: Fracture, Conjunctivitis, Gallstones. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors after eating spicy food,Parasitic infection; HIV-related infection; Malaria,"Possible causes include: Parasitic infection, HIV-related infection, Malaria. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors after heavy meal,Eustachian tube dysfunction; Transient ischemic attack (TIA); Tendonitis,"Possible causes include: Eustachian tube dysfunction, Transient ischemic attack (TIA), Tendonitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors with weight loss,Urinary tract infection (UTI); Dermatitis/eczema; Eczema herpeticum,"Possible causes include: Urinary tract infection (UTI), Dermatitis/eczema, Eczema herpeticum. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors with sweating,Bacterial infection; Eczema herpeticum; Deep vein thrombosis (DVT),"Possible causes include: Bacterial infection, Eczema herpeticum, Deep vein thrombosis (DVT). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors with shortness of breath,Angina; Cluster headache; Peptic ulcer disease,"Possible causes include: Angina, Cluster headache, Peptic ulcer disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors with chest pain,Otitis media; Gallstones; Meningitis,"Possible causes include: Otitis media, Gallstones, Meningitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors with palpitations,COVID-19; Inflammatory bowel disease (IBD); Glaucoma,"Possible causes include: COVID-19, Inflammatory bowel disease (IBD), Glaucoma. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors during exercise,Bursitis; Gout; Benign prostatic hyperplasia (BPH),"Possible causes include: Bursitis, Gout, Benign prostatic hyperplasia (BPH). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors at rest,Tendonitis; Parkinson's disease; Pulmonary embolism,"Possible causes include: Tendonitis, Parkinson's disease, Pulmonary embolism. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors intermittent,COVID-19; Allergic rhinitis; Sinusitis,"Possible causes include: COVID-19, Allergic rhinitis, Sinusitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors constant,Seizure disorder (epilepsy); Insomnia disorder; Eczema herpeticum,"Possible causes include: Seizure disorder (epilepsy), Insomnia disorder, Eczema herpeticum. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors episodes lasting minutes,Irritable bowel syndrome (IBS); Hypoglycemia; Liver disease (hepatitis),"Possible causes include: Irritable bowel syndrome (IBS), Hypoglycemia, Liver disease (hepatitis). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
rigors episodes lasting hours,Pressure ulcer; Benign prostatic hyperplasia (BPH); Motion sickness,"Possible causes include: Pressure ulcer, Benign prostatic hyperplasia (BPH), Motion sickness. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats in children,Appendicitis; Bronchitis; Rheumatoid arthritis,"Possible causes include: Appendicitis, Bronchitis, Rheumatoid arthritis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats in adults,Earwax impaction; Tooth abscess; Pulmonary embolism,"Possible causes include: Earwax impaction, Tooth abscess, Pulmonary embolism. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats during pregnancy,Food poisoning; Periodontal disease (gum infection); Retinal detachment,"Possible causes include: Food poisoning, Periodontal disease (gum infection), Retinal detachment. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats after eating,Parkinson's disease; RSV infection; Viral infection,"Possible causes include: Parkinson's disease, RSV infection, Viral infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats on exertion,Osteoarthritis; Carpal tunnel syndrome; Lupus (SLE),"Possible causes include: Osteoarthritis, Carpal tunnel syndrome, Lupus (SLE). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats at night,Cellulitis; Venous insufficiency; Autoimmune disease,"Possible causes include: Cellulitis, Venous insufficiency, Autoimmune disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats in the morning,Conjunctivitis; Inflammatory bowel disease (IBD); Anxiety disorder,"Possible causes include: Conjunctivitis, Inflammatory bowel disease (IBD), Anxiety disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats for 1 day,PID (pelvic inflammatory disease); Allergic rhinitis; Dehydration,"Possible causes include: PID (pelvic inflammatory disease), Allergic rhinitis, Dehydration. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats for 3 days,Contact dermatitis; Eczema herpeticum; Meniere's disease,"Possible causes include: Contact dermatitis, Eczema herpeticum, Meniere's disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats for 1 week,Endometriosis; Diabetes (hyperglycemia); Insomnia disorder,"Possible causes include: Endometriosis, Diabetes (hyperglycemia), Insomnia disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats chronic (months),Cellulitis; Liver disease (hepatitis); Fracture,"Possible causes include: Cellulitis, Liver disease (hepatitis), Fracture. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats sudden onset,Transient ischemic attack (TIA); Rabies (rare); Hypoglycemia,"Possible causes include: Transient ischemic attack (TIA), Rabies (rare), Hypoglycemia. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats progressive,Stroke; TMJ disorder; Deep vein thrombosis (DVT),"Possible causes include: Stroke, TMJ disorder, Deep vein thrombosis (DVT). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats recurrent,Asthma; Psoriasis; Motion sickness,"Possible causes include: Asthma, Psoriasis, Motion sickness. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats severe,Sinusitis; Tendonitis; Laryngitis,"Possible causes include: Sinusitis, Tendonitis, Laryngitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats mild,Diabetes (hyperglycemia); Hypoglycemia; Autoimmune disease,"Possible causes include: Diabetes (hyperglycemia), Hypoglycemia, Autoimmune disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats moderate,Tooth abscess; RSV infection; Encephalitis,"Possible causes include: Tooth abscess, RSV infection, Encephalitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats worse when bending,Inflammatory bowel disease (IBD); Glaucoma; Allergic reaction,"Possible causes include: Inflammatory bowel disease (IBD), Glaucoma, Allergic reaction. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats worse when coughing,Cholecystitis; Retinal detachment; Cellulitis,"Possible causes include: Cholecystitis, Retinal detachment, Cellulitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats improves with rest,Contact dermatitis; Gastroesophageal reflux disease (GERD); Depression,"Possible causes include: Contact dermatitis, Gastroesophageal reflux disease (GERD), Depression. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats worse with movement,Gastroesophageal reflux disease (GERD); Ovarian cyst; Insomnia disorder,"Possible causes include: Gastroesophageal reflux disease (GERD), Ovarian cyst, Insomnia disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats associated with fever,Bacterial infection; Carpal tunnel syndrome; Irritable bowel syndrome (IBS),"Possible causes include: Bacterial infection, Carpal tunnel syndrome, Irritable bowel syndrome (IBS). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats associated with vomiting,Deep vein thrombosis (DVT); Encephalitis; Inflammatory bowel disease (IBD),"Possible causes include: Deep vein thrombosis (DVT), Encephalitis, Inflammatory bowel disease (IBD). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats with blood,Tuberculosis; Sinusitis; Periodontal disease (gum infection),"Possible causes include: Tuberculosis, Sinusitis, Periodontal disease (gum infection). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats with mucus,Multiple sclerosis; Food poisoning; Typhoid fever,"Possible causes include: Multiple sclerosis, Food poisoning, Typhoid fever. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats with yellow discharge,Sports injury / sprain; Hypertension; Encephalitis,"Possible causes include: Sports injury / sprain, Hypertension, Encephalitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats with green discharge,Heart attack (myocardial infarction); Contact dermatitis; Iron deficiency anemia,"Possible causes include: Heart attack (myocardial infarction), Contact dermatitis, Iron deficiency anemia. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats after travel,PID (pelvic inflammatory disease); Diabetes (hyperglycemia); Psoriasis,"Possible causes include: PID (pelvic inflammatory disease), Diabetes (hyperglycemia), Psoriasis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats after insect bite,HIV-related infection; Bursitis; Meniere's disease,"Possible causes include: HIV-related infection, Bursitis, Meniere's disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats after injury,Conjunctivitis; Endometriosis; Allergic reaction,"Possible causes include: Conjunctivitis, Endometriosis, Allergic reaction. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats postoperative,Typhoid fever; Bronchitis; Transient ischemic attack (TIA),"Possible causes include: Typhoid fever, Bronchitis, Transient ischemic attack (TIA). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats after surgery,HIV-related infection; Occupational lung disease; Osteoarthritis,"Possible causes include: HIV-related infection, Occupational lung disease, Osteoarthritis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats during menstruation,Stroke; Motion sickness; Angina,"Possible causes include: Stroke, Motion sickness, Angina. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
night sweats postpartum,Panic disorder; Gastroesophageal reflux disease (GERD); Meniere's disease,"Possible causes include: Panic disorder, Gastroesophageal reflux disease (GERD), Meniere's disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
